Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2024 prevalence (%),2023 adjusted estimates (%),2024 adjusted estimates (%),Statistically significant difference (2023 vs 2024)
Tab 1,Identity crime and misuse,Non financial identity compromise,,All persons,All ages,Not an SME owner,3.3,,,
Tab 1,Identity crime and misuse,Non financial identity compromise,,All persons,All ages,All,4.7,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,Male,All ages,All,0.9,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,Female,All ages,All,1.2,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,All persons,18 – 34,All,0.6,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,All persons,35 – 64,All,1.3,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,All persons,65+,All,1.2,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,All persons,All ages,SME owner,1.3,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,All persons,All ages,Not an SME owner,1,,,
Tab 1,Identity crime and misuse,Other identity crime and misuse,,All persons,All ages,All,1.1,,,
Tab 1,Fraud and scams,Investment scams,,Male,All ages,All,1.7,,,
Tab 1,Fraud and scams,Investment scams,,Female,All ages,All,1.2,,,
Tab 1,Fraud and scams,Investment scams,,All persons,18 – 34,All,2.9,,,
Tab 1,Fraud and scams,Investment scams,,All persons,35 – 64,All,1,,,
Tab 1,Fraud and scams,Investment scams,,All persons,65+,All,0.4,,,
Tab 1,Fraud and scams,Investment scams,,All persons,All ages,SME owner,2.7,,,
Tab 1,Fraud and scams,Investment scams,,All persons,All ages,Not an SME owner,1.2,,,
Tab 1,Fraud and scams,Investment scams,,All persons,All ages,All,1.5,,,
Tab 1,Fraud and scams,Job and employment scams,,Male,All ages,All,0.3,,,
Tab 1,Fraud and scams,Job and employment scams,,Female,All ages,All,0.3,,,
Tab 1,Fraud and scams,Job and employment scams,,All persons,18 – 34,All,0.6,,,
Tab 1,Fraud and scams,Job and employment scams,,All persons,35 – 64,All,0.1,,,
Tab 1,Fraud and scams,Job and employment scams,,All persons,65+,All,0.1,,,
Tab 1,Fraud and scams,Job and employment scams,,All persons,All ages,SME owner,0.7,,,
Tab 1,Fraud and scams,Job and employment scams,,All persons,All ages,Not an SME owner,0.2,,,
Tab 1,Fraud and scams,Job and employment scams,,All persons,All ages,All,0.3,,,
Tab 1,Fraud and scams,Buying products or services scams,,Male,All ages,All,4.2,,,
Tab 1,Fraud and scams,Buying products or services scams,,Female,All ages,All,4.6,,,
Tab 1,Fraud and scams,Buying products or services scams,,All persons,18 – 34,All,5.3,,,
Tab 1,Fraud and scams,Buying products or services scams,,All persons,35 – 64,All,4.3,,,
Tab 1,Fraud and scams,Buying products or services scams,,All persons,65+,All,3.5,,,
Tab 1,Fraud and scams,Buying products or services scams,,All persons,All ages,SME owner,6,,,
Tab 1,Fraud and scams,Buying products or services scams,,All persons,All ages,Not an SME owner,4.2,,,
Tab 1,Fraud and scams,Buying products or services scams,,All persons,All ages,All,4.4,,,
Tab 1,Fraud and scams,Donation scams,,Male,All ages,All,0.2,,,
Tab 1,Fraud and scams,Donation scams,,Female,All ages,All,0.2,,,
Tab 1,Fraud and scams,Donation scams,,All persons,18 – 34,All,0.5,,,
Tab 1,Fraud and scams,Donation scams,,All persons,35 – 64,All,0.1,,,
Tab 1,Fraud and scams,Donation scams,,All persons,65+,All,0,,,
Tab 1,Fraud and scams,Donation scams,,All persons,All ages,SME owner,0.4,,,
Tab 1,Fraud and scams,Donation scams,,All persons,All ages,Not an SME owner,0.2,,,
Tab 1,Fraud and scams,Donation scams,,All persons,All ages,All,0.2,,,
